Repository,Success,Time (s),Nodes,Relationships
tiangolo/fastapi,True,619.7731611728668,7695,13238
RDFLib/pyLODE,True,7.325463771820068,471,741
PyCQA/flake8,True,45.386066913604736,2185,2884
OmkarPathak/pygorithm,True,73.69057106971741,3039,3820
py2neo-org/py2neo,True,161.0908579826355,4441,6149
SoftwareUnderstanding/inspect4py,True,525.0010719299316,8227,11243
KnowledgeCaptureAndDiscovery/somef,True,23.374225854873657,1520,1874
usc-isi-i2/kgtk,True,465.4946119785309,8694,9863
LinkedEarth/Pyleoclim_util,True,94.63016605377197,3677,4361
PyLops/pylops,True,420.76915097236633,7195,10337
Toblerity/Shapely,True,200.64063215255737,4685,7401
zhiqiangdon/CU-Net,True,6.892169952392578,628,731
pyvista/pyvista,True,1082.7111990451813,11988,16697
usc-isi-i2/kgtk-browser,True,8.824550151824951,788,823
usc-isi-i2/wikidata-property-finder,True,2.8243579864501953,261,299
oeg-upm/Chowlk,True,4.529148817062378,399,469
oeg-upm/morph-csv,True,8.995406150817871,703,1083
modflowpy/flopy,True,945.3811030387878,11342,15179
mintproject/cromo,True,2.8048489093780518,263,338
pySRURGS/pySRURGS,True,6.790102958679199,579,726
gacou54/pyorthanc,True,11.639434099197388,854,1058
KnowledgeCaptureAndDiscovery/ClimComp,True,1.0983240604400635,38,39
clementranc/moana,True,4.277842283248901,358,394
Maarten-vd-Sande/qnorm,False,0,0,0
spotify/luigi,True,917.1081967353821,12459,13706
dask/dask,False,0,0,0
Yelp/mrjob,True,834.6918299198151,11427,13595
httplib2/httplib2,True,9.329576015472412,702,890
spyoungtech/grequests,True,1.7054088115692139,120,139
RDFLib/rdflib-jsonld,True,0.9190812110900879,31,33
RDFLib/sparqlwrapper,True,105.60599184036255,3978,4304
RDFLib/rdflib,True,890.3146998882294,9885,15345
microsoft/fastseq,True,36.161216020584106,1937,2346
PeikeLi/Self-Correction-Human-Parsing,True,634.4885058403015,9365,11880
compphoto/BoostingMonocularDepth,True,37.73040580749512,2057,2425
megvii-research/SOLQ,True,54.59933018684387,2683,2997
yym6472/ConSERT,True,2793.1356959342957,21296,25579
navervision/mlsd,True,3.687110185623169,302,338
microsoft/CoCosNet-v2,True,11.925769090652466,912,1071
murufeng/EPSANet,True,1.5924031734466553,109,123
kzl/decision-transformer,True,5.7061638832092285,532,579
OATML/Non-Parametric-Transformers,True,34.10528898239136,2039,2310
dispel4py/dispel4py,True,17.204122066497803,1087,1600
astropy/astropy,True,13869.929117918015,45812,63604
vitsalis/PyCG,True,33.412933111190796,2099,2388
Technologicat/pyan,True,5.7588300704956055,546,621
Kirili4ik/code2vec,True,11.355607986450195,949,1106
defoe-code/defoe,True,103.43497705459595,3704,4926
obspy/obspy,True,1966.880695104599,18234,23715
uafgeotools/pysep,True,13.575507879257202,925,1241
apache/airflow,False,N/A,0,0
